  412 , חדרה ,,126.2,60980.4,357.6,61464.2,4536164.4,1391449649.1,30565092.2,1426550905.7,,,35934.0,22818.0,85477.0
  198 , אשקלון ,,35.5,23041.2,111.0,23187.6,1274191.9,525753531.2,9486398.2,536514121.2,,,35934.0,22818.0,85477.0
  360 , רמלה ,,6590.1,0.0,103.7,6693.9,236809545.0,0.0,8866784.3,245676329.3,,,35934.0,22818.0,85477.0
  355 , אשדוד ,,1437.0,2263.8,171.7,3872.5,51636814.7,51655502.5,14679474.0,117971791.1,,,35934.0,22818.0,85477.0
  266 , חיפה ,,1445.6,532.4,967.9,2946.0,51946489.9,12149056.2,82735536.3,146831082.3,,,35934.0,22818.0,85477.0
  40 , תל אביב -יפו ,,26.9,825.5,1264.3,2116.8,966825.4,18837034.8,108071419.9,127875280.1,,,35934.0,22818.0,85477.0
  421 , תמר ,,1771.7,0.0,231.9,2003.6,63665094.3,0.0,19824303.1,83489397.4,,,35934.0,22818.0,85477.0
  420 , ללא שיפוט ,,10.3,594.4,961.6,1566.3,371023.8,13563384.3,82193758.0,96128166.1,,,35934.0,22818.0,85477.0
  293 , חוף הכרמל ,,53.2,851.0,628.4,1532.7,1912592.0,19418620.0,53717607.4,75048819.4,,,35934.0,22818.0,85477.0
  340 , בית שמש ,,1355.2,0.0,51.3,1406.5,48696638.5,0.0,4387954.5,53084592.9,,,35934.0,22818.0,85477.0
  53 , מטה אשר ,,1041.9,0.0,295.5,1337.4,37438721.4,0.0,25258999.1,62697720.5,,,35934.0,22818.0,85477.0
  169 , עמק יזרעאל ,,315.0,442.9,540.5,1298.4,11319767.5,10104951.3,46204178.9,67628897.7,,,35934.0,22818.0,85477.0
  353 , ירושלים ,,130.1,0.0,1162.4,1292.5,4673476.0,0.0,99361317.3,104034793.4,,,35934.0,22818.0,85477.0
  397 , גזר ,,0.0,826.5,268.6,1095.1,0.0,18858734.7,22958399.6,41817134.4,,,35934.0,22818.0,85477.0
  156 , נצרת עילית ,,881.3,0.0,53.5,934.7,31667817.9,0.0,4570380.6,36238198.4,,,35934.0,22818.0,85477.0
  8 , ראשון לציון ,,5.0,0.0,671.4,676.3,178076.6,0.0,57387055.9,57565132.5,,,35934.0,22818.0,85477.0
  354 , יואב ,,97.2,479.9,90.8,667.9,3491402.8,10950791.7,7763828.6,22206023.1,,,35934.0,22818.0,85477.0
  407 , דרום השרון ,,49.6,0.0,471.0,520.5,1780606.2,0.0,40259168.7,42039774.9,,,35934.0,22818.0,85477.0
  202 , בני שמעון ,,38.2,0.0,414.5,452.8,1373777.2,0.0,35433310.5,36807087.7,,,35934.0,22818.0,85477.0
  367 , פתח תקווה ,,22.9,0.0,424.4,447.3,822300.1,0.0,36277415.4,37099715.5,,,35934.0,22818.0,85477.0
  389 , חבל מודיעין ,,0.0,0.0,381.3,445.3,0.0,0.0,32595560.3,32595560.3,,,35934.0,22818.0,85477.0
  338 , מטה יהודה ,,0.5,0.0,438.8,439.2,17313.0,0.0,37504008.1,37521321.1,,,35934.0,22818.0,85477.0
  371 , נתניה ,,18.4,0.0,413.7,432.1,661941.2,0.0,35357579.9,36019521.1,,,35934.0,22818.0,85477.0
  204 , הערבה התיכונה ,,135.9,0.0,147.4,419.2,4883789.9,0.0,12596973.2,17480763.1,,,35934.0,22818.0,85477.0
  199 , באר שבע ,,15.7,0.0,388.2,403.9,563774.3,0.0,33180266.8,33744041.0,,,35934.0,22818.0,85477.0
  414 , מנשה ,,148.2,0.0,246.5,394.7,5323669.2,0.0,21071613.3,26395282.5,,,35934.0,22818.0,85477.0
  370 , עמק חפר ,,79.3,0.0,299.9,379.2,2850399.0,0.0,25631738.2,28482137.2,,,35934.0,22818.0,85477.0
  357 , מגידו ,,0.0,0.0,373.7,373.7,0.0,0.0,31944995.8,31944995.8,,,35934.0,22818.0,85477.0
  341 , רמת השרון ,,5.2,0.0,337.1,342.3,187388.5,0.0,28817039.0,29004427.5,,,35934.0,22818.0,85477.0